Question,Answer,type,Inside_Intent
What type of accident is covered in GROUP TERM LIFE?,"  Group Term Life provides 24-hour world-wide coverage against death due to any of the mentioned causes (illness/accident/natural causes).  XYZ Associates are covered INR 600000.  XYZ Managers & Above are covered INR 25 Lacs to 2 Crores. XYZ For further questions, please follow the below path on the HR Portal: XYZ HR Portal --> My Benefits --> Benefits Overview.  XYZ ",6,0
Group Term Life Insurance,"  Group Term Life provides 24-hour world-wide coverage against death due to any of the mentioned causes (illness/accident/natural causes).  XYZ Associates are covered INR 600000.  XYZ Managers & Above are covered INR 25 Lacs to 2 Crores. XYZ For further questions, please follow the below path on the HR Portal: XYZ HR Portal --> My Benefits --> Benefits Overview.  XYZ ",6,0
Insurance coverage for Life,"  Group Term Life provides 24-hour world-wide coverage against death due to any of the mentioned causes (illness/accident/natural causes).  XYZ Associates are covered INR 600000.  XYZ Managers & Above are covered INR 25 Lacs to 2 Crores. XYZ For further questions, please follow the below path on the HR Portal: XYZ HR Portal --> My Benefits --> Benefits Overview.  XYZ ",6,0
Life Insurance,"  Group Term Life provides 24-hour world-wide coverage against death due to any of the mentioned causes (illness/accident/natural causes).  XYZ Associates are covered INR 600000.  XYZ Managers & Above are covered INR 25 Lacs to 2 Crores. XYZ For further questions, please follow the below path on the HR Portal: XYZ HR Portal --> My Benefits --> Benefits Overview.  XYZ ",6,0
What is GTL Insurance?,"  Group Term Life provides 24-hour world-wide coverage against death due to any of the mentioned causes (illness/accident/natural causes).  XYZ Associates are covered INR 600000.  XYZ Managers & Above are covered INR 25 Lacs to 2 Crores. XYZ For further questions, please follow the below path on the HR Portal: XYZ HR Portal --> My Benefits --> Benefits Overview.  XYZ ",6,0
Whom should I contact for GTL Insurance related questions?,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
Contact person for GTL ,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
Who is position of contact for GTL insurance ,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
Whom to contact for GTL ,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
For more detail about GTL insurance whom to contact,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
Can I include my parents/in-laws under GTL,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
What is the maximum insurance coverage for parents/in-laws under GTL,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
How to apply for GROUP TERM LIFE ?,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
Conditions to apply for GTL,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
Time period to apply for GTL,"For Insurance related enquiries, please contact Gurram Narasaiah at  gurram.narasaiah@globalinsurance.co.in or call +91 8977123452  (Monday to Friday 9:30 am to 6 pm, excluding public holidays). For queries on Insurance claim process, please get in touch with FHPL Executive by calling +91 9505258886. XYZ For further questions, please follow the below path on the Syncranet: XYZ HR Portal --> My Benefits --> Benefits Overview.",6,1
how much is the fitness amount,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
gym,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
fitness reimbursemnt,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
How much amount can be reimbursed under Fitness Reimbursement?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
fitness,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
How much percentage can be reimbursed under Fitness Reimbursement?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
What is the Maximum Fitness or Gym Reimbursement amount?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
What is the Maximum Fitness or Gym Reimbursement percentage?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
Can I claim XXXXX amount under Fitness Reimbursement ?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
What is the time period to apply for FITNESS REIMBURSEMENT ?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
How can I claim for Gym reimbursement?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
How can I claim for workout or swimming reimbursement?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
fitness amount,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
Fitness reimbursement,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
Gym reimbursement,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
Workout reimbursement,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
What is the eligibilty for claiming fitness or workout reimbursement?,"  The fitness reimbursement is up to, 50% of the reciept amount or INR 500/-, whichever is lower per person per month. XYZ  To submit/claim fitness reimbursement, use the below path: XYZ HR Portal --> Current Benefits Selections --> My Claims --> Submit Claims XYZ ",7,
tell me about gratuity,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
What is GRATUITY CUM LIFE COVERAGE ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
How much is covered under GRATUITY CUM LIFE COVERAGE ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
How to apply for GRATUITY CUM LIFE COVERAGE ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
What amount is covered under GRATUITY CUM LIFE COVERAGE ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
How to calculate Gratuity ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
Conditions to apply for Gratuity cum life coverage,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
Time period to apply for Gratuity cum life coverage,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
What is Gratuity ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
When can I apply for Gratuity ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
Gratuity,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
Gratuity Life coverage,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
What is the Gratuity amount I am eligible for ?,  Gratuity come Life coverage offers gratuity to employees nominee in case of death.  XYZ Please use the below link for reference:  XYZ sc.synchronyfinancial.com and visit HR reference desk,8,
Where can I check my leave balance ?,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
Tell me about leaves,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
How can I check my time-off balance ?,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
How can I keep a track of my leaves ?,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
What is my leave balance ?,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
How many leaves can I avail this year ?,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
What is my leave balance as of today ?,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
Time off,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
Workday time off,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
Workday leaves,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
Leave balance,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
Leaves,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
How can I apply for a time-off or leave ?,"  You can check your leave balance, time-off and also apply for leaves using below path: XYZ Workday --> Time-off and Leave. XYZ Contact your manager or HR for any further questions regarding leaves.",9,
What is the procedure for applying an Internal Job Posting ?,"  To find internal jobs or IJPs: XYZ On Workday page, type ""Find Jobs"" in the search box. Here, you can check all the internal job postings and apply. Each posting will have different requirements based on the job profile.",10,0
Can you tell me how to apply for IJP,"  To find internal jobs or IJPs: XYZ On Workday page, type ""Find Jobs"" in the search box. Here, you can check all the internal job postings and apply. Each posting will have different requirements based on the job profile.",10,0
Steps to apply for IJP,"  To find internal jobs or IJPs: XYZ On Workday page, type ""Find Jobs"" in the search box. Here, you can check all the internal job postings and apply. Each posting will have different requirements based on the job profile.",10,0
Website link to apply for IJP,"  To find internal jobs or IJPs: XYZ On Workday page, type ""Find Jobs"" in the search box. Here, you can check all the internal job postings and apply. Each posting will have different requirements based on the job profile.",10,0
Where to apply for IJP,"  To find internal jobs or IJPs: XYZ On Workday page, type ""Find Jobs"" in the search box. Here, you can check all the internal job postings and apply. Each posting will have different requirements based on the job profile.",10,0
Procedure involved to apply for IJP,"  To find internal jobs or IJPs: XYZ On Workday page, type ""Find Jobs"" in the search box. Here, you can check all the internal job postings and apply. Each posting will have different requirements based on the job profile.",10,0
Where can I find the internal job postings or internal jobs ?,"  To find internal jobs or IJPs: XYZ On Workday page, type ""Find Jobs"" in the search box. Here, you can check all the internal job postings and apply. Each posting will have different requirements based on the job profile.",10,0
When am I eligible to apply for IJP ?,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
What is IJP ?,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
What is the IJP application?,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
What is the eligibility crieteria for applying IJP ?,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
Who can apply for IJP ?,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
I have a question regarding IJP ?,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
IJP,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
Internal Job Posting,To apply for an IJP: XYZ  You should have completed 18 months with in SYF with 12 months in current role XYZ  You should not be on Formal/Final Corrective or  active PIP XYZ  Last performance should be at-least a Strong Contributor/Critical Talent XYZ ,10,1
Where can I check about referring someone ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
Where I can find about job openings ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
Where I can find about open job positions ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
find about job openings ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
open job positions ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
I need to check about openings in Analytics,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
job positions ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
Where can I find open jobs ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
Where can I find the external job posting for referring ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
Where can I find the job posting ?,   XYZ  Please use the below path: XYZ Workday-> Find Jobs-> Hyderabad Location-> Open Jobs XYZ ,10,2
What is the referral amount for Customer service rep ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
What is the referral amount for Manager role ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
What is the referral amount for AVP and above roles ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
What is the referral amount ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
can you let me know my referral amount,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
How can I get my referral amount ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
What is referral incentive ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
Referral incentives,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
Referral incentive amount,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
How much can I earn by referring my friends or family ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
What is the referral payout structure ?,"  The referral incentive amounts are as follows: XYZ Level 4 to 7 -  INR 10,000 XYZ Level 8 & 9 -   INR 20,000 XYZ Level 10 & 11 -INR 35,000 XYZ ",11,0
How long will it take to get the referral amount in my salary ?,   XYZ The referral amount will be paid in two installments. The first installment will be paid on completion of 3 months and the second installment will be paid on completion of 6 months from the date of joining of the referred candidate.,11,1
time to get referral amount ?,   XYZ The referral amount will be paid in two installments. The first installment will be paid on completion of 3 months and the second installment will be paid on completion of 6 months from the date of joining of the referred candidate.,11,1
installment for referral amount ?,   XYZ The referral amount will be paid in two installments. The first installment will be paid on completion of 3 months and the second installment will be paid on completion of 6 months from the date of joining of the referred candidate.,11,1
How many installments it will take to get referral amount ?,   XYZ The referral amount will be paid in two installments. The first installment will be paid on completion of 3 months and the second installment will be paid on completion of 6 months from the date of joining of the referred candidate.,11,1
How many months it will take to get referral amount ?,   XYZ The referral amount will be paid in two installments. The first installment will be paid on completion of 3 months and the second installment will be paid on completion of 6 months from the date of joining of the referred candidate.,11,1
installments for referral amount ?,   XYZ The referral amount will be paid in two installments. The first installment will be paid on completion of 3 months and the second installment will be paid on completion of 6 months from the date of joining of the referred candidate.,11,1
Whom can I refer ?,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
How do I refer for a job ?,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
Where can I upload the referral profile ?,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
Refer friends for job opening,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
how do i refer my friend,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
Referred by you,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
Refer family for job opening,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
Where can I upload the referral resume ?,"  You can refer your family and your friends for open roles in Synchrony. To upload the referral profile, follow the below path: XYZ HR Reference Desk-> Benefits Tab-> Referred By You. XYZ ",11,2
How can I get salary advance ?,"  The salary advance can be availed based on the tenure. For Associates, it ranges from INR 15,000 to INR 30,000 and for Managers & above it is INR 1,00,000. Salary Advance can be claimed once in rolling 12 months & twice within a period of 4 years. ",12,0
What is the maximum amount I can take as salary advance ?,"  The salary advance can be availed based on the tenure. For Associates, it ranges from INR 15,000 to INR 30,000 and for Managers & above it is INR 1,00,000. Salary Advance can be claimed once in rolling 12 months & twice within a period of 4 years. ",12,0
What is salary advance ?,"  The salary advance can be availed based on the tenure. For Associates, it ranges from INR 15,000 to INR 30,000 and for Managers & above it is INR 1,00,000. Salary Advance can be claimed once in rolling 12 months & twice within a period of 4 years. ",12,0
How can I take salary advance ?,"  The salary advance can be availed based on the tenure. For Associates, it ranges from INR 15,000 to INR 30,000 and for Managers & above it is INR 1,00,000. Salary Advance can be claimed once in rolling 12 months & twice within a period of 4 years. ",12,0
How can I apply for salary advance ?,"  The salary advance can be availed based on the tenure. For Associates, it ranges from INR 15,000 to INR 30,000 and for Managers & above it is INR 1,00,000. Salary Advance can be claimed once in rolling 12 months & twice within a period of 4 years. ",12,0
Salary advance,"  The salary advance can be availed based on the tenure. For Associates, it ranges from INR 15,000 to INR 30,000 and for Managers & above it is INR 1,00,000. Salary Advance can be claimed once in rolling 12 months & twice within a period of 4 years. ",12,0
What is the eligibility for applying salary advance ?,"  The salary advance can be availed based on the tenure. For Associates, it ranges from INR 15,000 to INR 30,000 and for Managers & above it is INR 1,00,000. Salary Advance can be claimed once in rolling 12 months & twice within a period of 4 years. ",12,0
How can I pay back the salary advance taken ?,Recovery of salary advance will be done in 6 equal instalments through payroll. The deductions will commence from the next immediate payroll cycle. ,12,1
pay back the salary advance ?,Recovery of salary advance will be done in 6 equal instalments through payroll. The deductions will commence from the next immediate payroll cycle. ,12,1
How many installments to pay back salary advance ?,Recovery of salary advance will be done in 6 equal instalments through payroll. The deductions will commence from the next immediate payroll cycle. ,12,1
installments to pay back salary advance ?,Recovery of salary advance will be done in 6 equal instalments through payroll. The deductions will commence from the next immediate payroll cycle. ,12,1
Whom should I contact for salary advance ?,Follow the given path to apply for Salary Advance:  XYZ HR Portal --> Current Benefit Elections --> Changes --> Salary Advance Request.,12,2
Where I can apply for salary advance ?,Follow the given path to apply for Salary Advance:  XYZ HR Portal --> Current Benefit Elections --> Changes --> Salary Advance Request.,12,2
apply for salary advance ?,Follow the given path to apply for Salary Advance:  XYZ HR Portal --> Current Benefit Elections --> Changes --> Salary Advance Request.,12,2
location to apply for salary advance ?,Follow the given path to apply for Salary Advance:  XYZ HR Portal --> Current Benefit Elections --> Changes --> Salary Advance Request.,12,2
Where to raise salary advance request ?,Follow the given path to apply for Salary Advance:  XYZ HR Portal --> Current Benefit Elections --> Changes --> Salary Advance Request.,12,2
What is EAP ?,  EMPLOYEE ASSISTANCE PROGRAM (EAP) is a free of cost confidential counselling service offered to all employees. This program is provided by 1 to 1 Help Net Pvt Ltd.  XYZ Path for information related to EAP:  XYZ HR Portal --> Benefits --> Employee Assistance Program.,13,
What is Employee Assistance Program ?,  EMPLOYEE ASSISTANCE PROGRAM (EAP) is a free of cost confidential counselling service offered to all employees. This program is provided by 1 to 1 Help Net Pvt Ltd.  XYZ Path for information related to EAP:  XYZ HR Portal --> Benefits --> Employee Assistance Program.,13,
What is the amount charged for EAP or Employee assistance program ?,  EMPLOYEE ASSISTANCE PROGRAM (EAP) is a free of cost confidential counselling service offered to all employees. This program is provided by 1 to 1 Help Net Pvt Ltd.  XYZ Path for information related to EAP:  XYZ HR Portal --> Benefits --> Employee Assistance Program.,13,
What is Employee Assistance ?,  EMPLOYEE ASSISTANCE PROGRAM (EAP) is a free of cost confidential counselling service offered to all employees. This program is provided by 1 to 1 Help Net Pvt Ltd.  XYZ Path for information related to EAP:  XYZ HR Portal --> Benefits --> Employee Assistance Program.,13,
EAP,  EMPLOYEE ASSISTANCE PROGRAM (EAP) is a free of cost confidential counselling service offered to all employees. This program is provided by 1 to 1 Help Net Pvt Ltd.  XYZ Path for information related to EAP:  XYZ HR Portal --> Benefits --> Employee Assistance Program.,13,
